airline,route,announced,jobsohio_paid,paid_fy,first_month,last_month,months_flown,status,flights_2022,flights_2023,flights_2024,flights_2025,flights_2026,passengers
British Airways,CVG-LHR,June 2023,5681149,FY2024,2023-06,2026-06,37,still flying (June 2026),0,132,228,234,124,125435
Aer Lingus,CLE-DUB,May 2023,400000,FY2024,2023-05,2026-06,38,still flying (June 2026),0,128,183,239,125,91361
"United (SkyWest as United Express, then United)",DAY-DEN,"Sept 29, 2023",473975,FY2024,2023-09,2026-06,34,still flying (June 2026),0,94,361,364,179,82329
Avelo,DAY-MCO,not announced by JobsOhio,200000,FY2023-24,2023-01,2023-09,9,ended 2023-09,0,73,0,0,0,9555
Alaska,CLE-SEA,summer 2022,0,no Schedule I payment through FY2024,2022-06,2026-06,49,still flying (June 2026),192,469,436,426,198,251335
