ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
230628360,0000041719,Magnera Corp,PA,NC,CHARLOTTE,2621,Paper Mills,MAGN,Glatfelter Corp | GLATFELTER P H CO,2026-08-12
271284632,0001510295,Marathon Petroleum Corp,DE,OH,FINDLAY,2911,Petroleum Refining,MPC,,2026-09-01
270552823,0002009847,Milacron Plastics Technologies Group LLC,DE,IN,BATESVILLE,,,,,2024-02-07
341839929,0001412284,"Momentive Performance Materials Quartz, Inc.",DE,NY,ALBANY,,,,,2014-09-23
453997071,0001721865,"Monitored Therapeutics, Inc.",DE,OH,DUBLIN,,,,,2021-07-27
311125853,0002134523,Multi-Color Corp,OH,GA,ATLANTA,,,,,2026-05-26
721122018,0000830488,NETWORK LONG DISTANCE INC,DE,VA,NEWPORT NEWS,4813,Telephone Communications (No Radiotelephone),,,1998-06-15
134143915,0001138606,NOVEON INC,DE,OH,CLEVELAND,2891,Adhesives & Sealants,,,2004-09-24
471671054,0001702264,"Nullable, Inc.",DE,OH,COLUMBUS,,,,,2021-09-28
860221312,0001017450,"O'Reilly Auto Enterprises, LLC",DE,MO,SPRINGFIELD,5531,Retail-Auto & Home Supply Stores,,CSK AUTO INC,2016-03-02
314271820,0001513044,OHIO VALLEY BANK Co,OH,OH,GALLIPOLIS,,,,,2026-02-12
341897652,0001090061,OMNOVA SOLUTIONS INC,OH,OH,BEACHWOOD,3060,"Fabricated Rubber Products, NEC",,,2020-04-13
341897652,0001218660,OMNOVA SOLUTIONS RETIREMENT SAVINGS PLAN,OH,OH,FAIRLAWN,,,,,2006-02-09
680208702,0001640177,"OPTION CARE ENTERPRISES, INC.",DE,IL,DEERFIELD,,,,,2015-04-22
222784124,0001169825,OWENS ILLINOIS PRESCRIPTION PRODUCTS INC,DE,OH,TOLEDO,,,,,2005-04-27
222784144,0001169774,OWENS-BROCKWAY GLASS CONTAINER INC,DE,OH,PERRYSBURG,3221,Glass Containers,,OWENS BROCKWAY GLASS CONTAINER INC,2020-02-21
812174460,0001843031,"Oats Overnight, Inc.",DE,AZ,TEMPE,,,,,2024-07-30
471842264,0001708023,Oculii Corp.,DE,OH,BEAVERCREEK,,,,,2018-06-11
314271820,0001603694,Ohio Valley Bank Co / TA,,OH,GALLIPOLIS,,,,,2026-02-10
874718796,0001934663,P&THE Manufacturing Acquisition LLC,MI,MI,CANTON,,,,,2022-06-22
910351110,0000075362,PACCAR INC,DE,WA,BELLEVUE,3711,Motor Vehicles & Passenger Car Bodies,PCAR,,2026-09-04
362552989,0001089976,PACTIV LLC,DE,IL,LAKE FOREST,2673,"Plastics, Foil & Coated Paper Bags",,PACTIV CORP | TENNECO PACKAGING INC,2025-04-04
311299990,0001138779,"PAYCOR, INC",DE,OH,CINCINNATI,,,,PAYCOR INC,2016-07-01
751673348,0001365754,"PIER 1 IMPORTS (U.S.), INC.",DE,TX,FT. WORTH,,,,,2009-05-13
250730780,0000079879,PPG INDUSTRIES INC,PA,PA,PITTSBURGH,2851,"Paints, Varnishes, Lacquers, Enamels & Allied Prods",PPG,,2026-09-16
362552989,0001531574,Pactiv Management Co LLC,DE,Q2,AUCKLAND,,,,,2012-12-27
832135454,0001882283,"Path Robotics, Inc.",DE,OH,COLUMBUS,,,,,2021-11-10
465667935,0001731394,Peaceful Fruits LLC,OH,OH,PENINSULA,,,,,2018-02-16
383914676,0001594903,Perham Egg Ohio LLC,MN,MN,MINNEAPOLIS,,,,,2013-12-19
581455083,0001384871,Phoenix Corp,GA,CA,LOS ANGELES,,,,,2013-04-10
274453719,0001782604,Pison Stream Solutions Inc.,DE,OH,BRECKSVILLE,,,,,2021-11-29
850997867,0001816959,"QQE Summit, LLC",OH,OH,DAYTON,,,,,2020-07-07
462417625,0001880827,"Quick Loadz Container System, LLC",OH,OH,ATHENS,,,,,2024-05-06
430470580,0000081870,RALSTON PURINA CO,MO,MO,ST LOUIS,2040,Grain Mill Products,,,2002-05-14
430470580,0000735256,RALSTON PURINA CO                                       /TA,,MO,ST LOUIS,,,,,2002-03-13
311581466,0001676213,"REVLOCAL, LLC",OH,OH,GRANVILLE,,,,,2016-06-15
310875005,0000854663,RMI TITANIUM CO,OH,OH,NILES,3350,Rolling Drawing & Extruding of  Nonferrous Metals,,,2013-04-11
311364046,0000895456,"ROCKY BRANDS, INC.",OH,OH,NELSONVILLE,3140,"Footwear, (No Rubber)",RCKY,"ROCKY BRANDS, INC. | ROCKY SHOES & BOOTS INC",2026-08-14
473049829,0001637429,"ROOT, INC.",DE,OH,COLUMBUS,,,,"IBOD COMPANY, Inc.",2018-11-13
362241181,0001732698,Rexam Beverage Can Co,DE,CO,BROOMFIELD,,,,,2025-08-11
920191641,0001488086,"RhinoSystems, Inc.",OH,OH,BROOKLYN HEIGHTS,,,,,2019-09-24
465133072,0001920577,"Rust Belt Riders Composting, LLC",OH,OH,CLEVELAND,,,,,2023-04-11
340526850,0000089800,SHERWIN WILLIAMS CO,OH,OH,CLEVELAND,5200,"Retail-Building Materials, Hardware, Garden Supply",SHW,,2026-08-19
364670631,0001722397,"STAQ Pharma, Inc.",CO,CO,DENVER,,,,"QualMed Pharmacy, Inc.",2024-09-16
310841368,0001079326,STAR BANK N A CINCINNATI/FA,OH,OH,CINCINNATI,,,,,1999-02-16
953323502,0001009988,STERIGENICS INTERNATIONAL INC,CA,CA,FREMONT,8090,"Services-Misc Health & Allied Services, NEC",,STERIGENICS INTERNATIONAL,2000-02-14
341482024,0000815065,STERIS CORP,OH,OH,MENTOR,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",,,2021-03-26
260902522,0001923072,SageSure LLC,DE,NJ,JERSEY CITY,,,,Insight Catastrophe Group,2025-05-29
930797222,0000873303,"Sarepta Therapeutics, Inc.",DE,MA,CAMBRIDGE,2834,Pharmaceutical Preparations,SRPT,"Sarepta Therapeutics, Inc. | AVI BIOPHARMA INC | ANTIVIRALS INC",2026-09-08
943450803,0001546977,"Satelytics, Inc.",OH,OH,TOLEDO,,,,"Blue Water Satellite, Inc",2020-06-18
943196943,0000920371,"Simpson Manufacturing Co., Inc.",DE,CA,PLEASANTON,3420,"Cutlery, Handtools & General Hardware",SSD,SIMPSON MANUFACTURING CO INC /CA/,2026-09-11
