ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
341200570,"BOLLIN & SONS, INC. DBA BOLLIN LABEL SYSTEMS",OH,43,2,62,2,61,1
362513626,BOOZ ALLEN HAMILTON INC.,VA,67040,7,69557,8,51549,3
300841962,"BORGERS OHIO, INCORPORATED",OH,,,189,1,323,1
043537265,BOSTON BEER CORPORATION,MA,1486,2,1341,2,3247,2
310620191,"BRAKEFIRE, INC. DBA SILCO FIRE AND SECURITY",OH,152,2,247,2,387,2
820628587,"BRANCH FINANCIAL, INC.",OH,,,2,1,490,2
310792103,"BRAUN INDUSTRIES, INC.",OH,244,3,301,3,402,3
133163498,"BREAD FINANCIAL PAYMENTS, INC.",OH,15264,4,20130,4,13064,4
822644964,"BREEZE AVIATION GROUP, INC",UT,,,,,1025,2
340859271,"BRENNAN INDUSTRIES, INC.",OH,182,3,191,3,255,3
814361459,"BREW BROTHERS TRUCKING, LLC",OH,,,,,34,1
471756027,"BRIGHT INNOVATION LABS, LLC",OH,,,,,100,1
680659789,"BRIGHTEDGE TECHNOLOGIES, INC.",CA,265,2,406,2,425,2
260013885,BROCK AIR PRODUCTS INCORPORATED,OH,,,,,159,2
311524022,BRP MANUFACTURING COMPANY,OH,46,1,44,2,34,2
880377766,"BUCKEYE BUSINESS PRODUCTS, INC. DIVISION OF KROY LLC",OH,100,4,139,4,45,1
825049969,"BUCKEYE ELM CONTRACTING, LLC",OH,,,,,40,2
831834479,BUDDE PRECISION MACHINING CORP.,OH,,,11,1,17,1
310804159,"BULLEN ULTRASONICS, INC.",OH,76,1,112,2,169,2
150257610,BURROWS PAPER CORPORATION,NY,842,3,,,,
341472584,"BUTECH, INC.",OH,292,2,290,2,296,2
381850421,"C B S BORING & MACHINE CO., INC.",MI,213,2,180,2,231,2
453507457,"CAASTLE, INC.",NY,140,1,157,2,212,2
250530110,CALGON CARBON CORPORATION,PA,904,5,856,5,950,5
208677704,"CALLIBRITY SOLUTIONS, LLC",OH,4,1,57,2,109,2
811076038,"CANARY CONSULTING, INC.",OH,,,8,1,21,2
364867239,CANDID CARE CO.,NC,,,386,2,457,2
463867345,"CANDLE-LITE COMPANY, LLC",OH,509,2,1022,2,1035,2
340130090,"CANTON DROP FORGE, INC.",OH,696,3,446,2,233,1
341888626,CARDINALCOMMERCE CORPORATION,OH,136,2,,,,
311703368,CARESOURCE MANAGEMENT GROUP CO,OH,2186,3,4622,3,,
473049829,"CARET HOLDINGS, INC.",OH,,,236,1,1286,1
410177680,"CARGILL, INCORPORATED",MN,43970,16,39411,15,48742,14
