ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
362924281,"KOCH FOODS, INC.",IL,5213,1,5215,1,6790,1
133357362,"KOHL'S, INC.",WI,84968,2,95336,5,111393,3
351153549,"KOORSEN FIRE & SECURITY, INC.",IN,905,2,1363,2,1770,2
250542520,KRAFT HEINZ FOODS COMPANY,PA,51857,27,42132,14,29650,14
341152347,"KURTZ BROS., INC.",OH,258,2,348,2,501,2
311690460,"KUTOL PRODUCTS COMPANY, INC.",OH,168,3,175,2,198,2
341437898,"KYOCERA SGS PRECISION TOOLS, INC.",OH,297,1,308,3,470,2
341101709,"LAKE BUSINESS PRODUCTS, INC.",OH,145,1,156,1,132,1
310914553,"LAKE SHORE CRYOTRONICS, INC.",OH,177,2,193,2,291,2
900751535,"LAKEVIEW FARMS, LLC",OH,316,2,379,2,559,1
752781858,"LEGACY MEASUREMENT SOLUTIONS, INC.",TX,582,2,536,2,,
341879859,LEL OPERATING COMPANY,OH,,,270,1,,
341006008,"LEWCO, INC",OH,138,1,186,2,369,2
800356966,LG CHEM AMERICA,GA,,,38,1,199,1
222784107,LIBBEY GLASS LLC,OH,,,,,2349,11
450508423,LIBERTY CASTING CO AND AFFILIATES,OH,435,4,331,2,311,2
472870834,"LIBERTY STEEL INDUSTRIES, INC.",OH,97,2,271,3,371,3
340922427,"LINCOLN ELECTRIC AUTOMATION, INC.",OH,184,1,218,1,,
311471291,"LINKS UNLIMITED, INC.",OH,,,,,112,1
471351569,"LIONA ENTERPRISES, INC.",OH,,,8,1,43,2
310628033,LIQUI-BOX CORPORATION,VA,433,2,533,2,980,2
341229509,"LIVI STEEL, INC.",OH,42,1,42,1,41,1
311225519,"LONDON COMPUTER SYSTEMS, INC.",OH,122,2,255,2,437,2
341689472,LORIS PRINTING,OH,,,,,8,1
463689142,"LOWER, LLC000000000",MD,123,1,458,2,1615,1
475146583,"LOYAL HEALTH, INC",GA,,,,,169,1
340970366,"LUKE MANUFACTURING COMPANY, INC.",OH,61,2,68,2,82,2
753060494,LULULEMON ATHLETICA USA,,2573,1,9090,2,7792,1
621260875,M & M INDUSTRIES INC,TN,280,1,400,1,503,9
311435433,MACA PLASTICS,OH,42,1,,,,
473134140,MADDOX INDUSTRIAL TRANSFORMER,SC,,,19,1,184,2
451257111,"MADTREE BREWING, LLC",OH,,,,,0,1
310559326,MAGNA MACHINE CO.,OH,133,2,143,2,185,3
341134243,MAJOR METALS COMPANY,OH,53,3,65,1,89,1
311422564,MANIFEST SOLUTIONS CORP.,OH,,,75,1,99,1
341059601,"MAR-BAL, INC.",OH,510,2,521,2,627,2
111986323,MARCUM LLP,NY,1782,2,2634,2,4923,4
621151687,"MARELLI NORTH AMERICA, INC.",TN,2547,4,2950,4,3929,5
473582799,MARK ONE MANUFACTURING,OH,,,,,4,1
341972762,MARK-ALL ENTERPRISES LLC,OH,25,1,19,1,22,3
311752403,MASTERS PHARMACEUTICAL INC,OH,375,2,,,,
471779165,MASTERS PRECISION MACH INC,OH,,,,,11,1
421769430,"MATSU OHIO, INC.",MI,265,1,,,,
262958880,MATTINGLY COLD STORAGE,OH,21,1,37,1,59,1
270176680,MAUMEE ASSEMBLY AND STAMPING,OH,,,137,2,142,2
310885143,"MCCARTHY INDUSTRIAL CONTRACTORS, INC.",OH,2,1,2,2,2,2
263498215,MCDANIEL PRODUCTS INC. DBA AUTOMATIC PARTS,OH,20,1,18,1,15,1
943207296,MCKESSON CORPORATION - DELAWARE,TX,40876,11,44699,6,44457,5
311495395,"MCKNIGHT INDUSTRIES, INC.",OH,18,1,13,1,11,1
741478631,"MCLANE COMPANY, INC.",TX,20157,3,26298,3,30598,4
271235638,MCM CPAS & ADVISORS LLP,KY,307,2,511,2,513,3
630139000,"MCWANE, INC",AL,3631,19,4134,17,5266,11
340903894,MEDINA PLATING CORP.,OH,59,1,115,2,,
311474045,MEDISYNC INC.,OH,89,1,111,1,126,2
362596612,"MEDLINE INDUSTRIES,LP",IL,7705,2,13017,2,24970,2
753033627,"MEDPACE, INC.",OH,1529,3,2189,3,3462,3
390989248,"MENARD, INC.",WI,29514,4,36286,2,50999,2
311161086,MERCY HEALTH,OH,3338,5,2412,4,,
222451241,MERIDIENNE INTERNATIONAL INC,OH,18,1,32,1,,
453790057,"METALX, LLC",IN,143,2,225,2,233,2
270541571,"MIAMI VALLEY PACKAGING SOLUTIONS, INC.",OH,17,1,34,1,42,1
311786929,"MIBA BEARINGS US, LLC",OH,483,3,264,4,577,3
383825650,MIBA ENERGY HOLDING LLC,OH,9,1,15,1,25,1
300931047,MICC MFG,OH,,,,,2,1
262908300,"MIDDLE WEST SPIRITS, LLC",OH,,,,,32,1
344269370,MIDMARK CORPORATION,OH,1246,2,1678,2,2467,2
310516359,MIKE-SELL'S POTATO CHIP COMPANY,OH,136,2,61,1,76,2
474094933,"MILE TWO, LLC",OH,,,33,1,116,2
421769575,"MITEC POWERTRAIN, INC.",OH,,,234,1,,
831235047,"MIX TALENT, LLC",OH,,,24,1,129,2
471923176,MIXT SOLUTIONS LLC,OH,,,3,1,16,1
010499341,MODULA INC,ME,101,1,123,1,225,5
146075575,MOHAWK FINE PAPERS INC.,NY,752,7,734,5,635,5
341839929,MOMENTIVE PERFORMANCE MATERIALS,OH,,,,,635,3
208764829,"MORGAN STANLEY DOMESTIC HOLDINGS, LLC",NY,59666,16,61784,8,80740,8
251151457,MORGAN TRAILER MFG CO.,PA,3725,3,,,,
311177346,MORIROKU TECHNOLOGY NORTH AMERICA INC.,OH,1067,3,1216,2,797,3
550688163,"MOUNTAINEER PRODUCTS, INC.",OH,,,0,1,67,1
311567260,"MPW INDUSTRIAL SERVICES GROUP, INC.",OH,1844,1,2453,1,2767,1
311014212,"MPW INDUSTRIAL SERVICES, INC.",OH,1236,1,1515,1,1645,1
271499609,"MRI SOFTWARE, LLC.",OH,387,2,1063,2,1300,3
815429950,MUCCI FARMS,OH,,,13,1,,
341440886,MULLET CABINET,OH,244,3,252,3,202,3
311125853,MULTI-COLOR CORPORATION,IL,2188,3,3102,3,5337,4
341845975,"MUM INDUSTRIES, INC.",OH,,,125,1,94,1
472961066,N-OVATION TECHNOLOGY GROUP,OH,,,,,9,2
262606260,N2Y LLC,OH,,,104,1,233,1
271764977,NAPOLEON MACHINE,OH,,,16,1,39,3
471253460,"NASDAQ ENTREPRENEURIAL CENTER, INC.",MD,,,34,1,42,1
522314113,NATIONAL ASSOCIATION OF CORPORATE DIRECTORS,VA,84,1,145,2,202,2
204752011,NATIONAL AUTOMOTIVE EXPERTS,OH,83,1,,,,
341269925,"NATIONAL DOOR & TRIM, INC.",OH,72,1,75,1,,
473252445,"NATURE FRESH FARMS USA, INC.",OH,,,99,2,130,2
311609501,NATURES ONE INC,OH,32,1,41,1,132,1
311092812,"NEATON AUTO PRODUCTS MFG., INCORPORATED",OH,1487,3,1028,2,841,2
341846562,"NELSON PACKAGING COMPANY, INC.",OH,99,1,95,1,175,1
951572209,"NESTLE USA, INC. SAVINGS PLAN ADMINISTRATION",OH,52831,18,44615,15,50603,14
311178698,"NEW HORIZONS BAKING COMPANY, LLC",OH,333,4,341,4,358,4
311441978,NEXCERIS LLC,OH,45,1,58,1,79,1
261997145,NEXEN TIRE AMERICA TECHNOLOGY CENTER,OH,18,1,,,,
270340105,"NEXIENT, LLC",TX,365,2,412,2,930,1
208333491,"NEXT GENERATION FILMS, INC.",OH,354,2,582,2,,
760795388,"NEXUS ENGINEERING GROUP, LLC",OH,75,1,130,2,244,4
344306440,NIDEC MINSTER CORPORATION,OH,839,3,721,2,636,2
273330722,NIDEC MOTOR CORPORATION,MO,6332,5,4687,4,5356,4
341797943,NORTH STAR BLUESCOPE STEEL LLC,OH,432,2,477,2,656,2
341930826,"NORTHERN STAMPING, INC.",OH,173,2,162,1,226,1
232790930,NORTHWEST BANK,PA,3008,6,3412,4,3486,4
205877688,"NOSTRUM LABORATORIES, INC.",MO,143,1,195,2,275,2
341205930,"NOTTINGHAM SPIRK DESIGN ASSOCIATES, INC.",OH,60,1,67,1,71,1
454498851,"NPW-USA, INC.",OH,28,1,71,1,30,2
341899036,NRP INVESTMENTS LLC,OH,516,2,829,2,988,2
263444991,NSI CRANKSHAFT LLC,OH,144,2,116,1,139,1
471671054,"NULLABLE, INC.",OH,,,,,133,2
843382410,NUVIK USA,OH,,,,,14,1
760704915,NUWAVES ENGINEERING,OH,64,1,85,1,35,1
133537004,"NX AUTOMOTIVE LOGISTICS USA, INC.",OH,388,5,574,1,567,1
860221312,"O'REILLY AUTO ENTERPRISES, LLC",MO,0,1,12135,3,12457,3
812174460,OAT OVERNIGHT INC,AZ,,,,,169,1
471842264,OCULII CORP,OH,4,1,25,1,,
310807991,"ODW LOGISTICS, INC.",OH,771,2,993,2,1361,2
043689503,"OHIO ASSOCIATED ENTERPRISES, LLC",OH,161,2,163,2,118,1
832600215,OHIO BEEF USA LLC,MO,,,262,3,262,1
341721701,"OHIO ORDNANCE WORKS, INC.",OH,,,76,1,96,1
820878051,"OHIO PACK, LLC",OH,,,13,1,,
314427476,OHIO STEEL INDUSTRIES,OH,216,2,312,2,505,2
464455633,"OLIVE AI, INC.",OH,,,158,2,,
341646871,"OMNI SYSTEMS, INC.",OH,83,1,139,2,224,2
208040748,"OPRONA, INC. DBA ROSEN USA, INC.",TX,355,2,498,2,772,2
680208702,"OPTION CARE HEALTH, INC.",IL,4815,1,5256,2,8608,2
463981791,"OPUS PACKAGING GROUP, INC.",MI,205,1,315,2,809,2
463229764,ORCHESTRATE LLC,OH,,,,,6,1
310913012,"OREGON VILLAGE PRINT SHOPPE, INC. DBA OREGON PRINTING",OH,14,1,12,1,,
200277513,OREILLY PRECISION PRODUCTS,OH,,,,,19,1
911461045,"OTSUKA AMERICA, INC.",CA,95,1,4276,2,4912,1
341522786,"OVERDRIVE, INC.",OH,221,1,,,564,1
462196621,"P & L METALCRAFTS, LLC",OH,,,19,1,18,1
341667697,"P. GRAHAM DUNN, INC.",OH,106,1,219,3,217,2
910351110,PACCAR INC,WA,15646,12,15072,13,16537,6
362552989,PACTIV LLC,IL,68280,2,58828,2,19659,1
314274980,PALMER-DONAVIN MANUFACTURING COMPANY,OH,479,2,698,2,663,2
383907747,PARADIGM INDUSTRIAL LLC,OH,,,11,1,17,1
452349532,"PARAGON TEMPERED GLASS, LLC",MI,135,1,136,1,115,1
834257094,PARKS ELECTRICAL SERVICES LLC,OH,,,7,1,18,1
204772714,PAS TECHNOLOGIES INC.,MO,430,2,,,,
200378455,PATH FORWARD CONSULTING,OH,170,1,358,2,631,2
832135454,"PATH ROBOTICS, INC",OH,,,16,1,225,2
311299990,"PAYCOR, INC.",OH,936,2,2069,2,2935,2
820515535,"PEAK FOODS, LLC",OH,71,1,88,1,98,1
344402833,PEERLESS STOVE & MANUFACTURING,OH,13,1,14,1,24,1
251487618,"PEERLESS-WINSMITH, INC. C/O HBD INDUSTRIES, INC.",OH,388,2,,,,
611322994,"PEGASUS INDUSTRIES, LLC",KY,54,1,108,1,286,2
420497670,PELLA CORPORATION,IA,7257,2,8521,2,11593,2
822684125,PENGUIN CITY BREWING COMPANY,OH,,,2,1,,
350577170,"PERFECTION BAKERIES, INC.",IN,1024,4,1163,4,1361,4
852766469,"PERFORMANCE RESULTS PLUS, INC.",OH,,,,,10,1
344473514,PERRY PROTECH,OH,270,2,380,2,304,2
770584954,"PERSISTENT SYSTEMS, INC.",CA,513,2,,,854,1
311635680,"PETER CREMER NORTH AMERICA, LP",OH,215,2,326,2,388,2
310733680,"PETLAND, INC",OH,53,1,123,3,220,2
311669229,PHILLIPS EDISON & COMPANY LTD,OH,382,2,614,2,414,2
611493910,PHILLIPS MEAT PROCESSING LLC,OH,14,1,,,,
134212209,"PILLAR TECHNOLOGY GROUP, LLC",OH,192,2,417,2,,
341293999,PINNACLE PRESS INC.,OH,,,,,7,1
341827361,"PINNACLE TECHNOLOGY GROUP, INC.",MI,96,1,98,1,84,1
831623694,PIXELLE SPECIALTY SOLUTIONS LLC,PA,,,1680,4,2212,4
274037334,"PLASTIC PACKAGING TECHNOLOGIES, L.L.C.",KS,226,2,331,2,486,2
861564797,PLATINUM RECOVERY LLC,OH,,,,,3,1
341210426,"PLEASANT PRECISION, INC.",OH,48,1,42,1,55,1
300389878,PLEASANT VALLEY TRAILERS,OH,44,1,213,1,210,1
201626973,PLIBRICO COMPANY LLC,IL,94,2,103,2,93,2
421613564,"PLOGER TRANSPORTATION, LLC",OH,44,1,54,1,96,1
341570807,"POLYCHEM, LLC",OH,349,3,543,2,774,1
341148853,"POLYMERICS, INC.",OH,53,1,44,1,48,1
310854367,"POSITROL, INCORPORATED",OH,31,1,34,2,34,2
250730780,"PPG INDUSTRIES, INC.",PA,25778,46,25383,24,27173,18
341174227,PRC-SALTILLO,OH,208,3,288,3,396,3
208115228,PREMIER DEVELOPMENT PARTNERS LLC,OH,11,1,14,1,20,1
850848748,"PREMIER GLOBAL TRANSPORTATION, LLC",OH,,,,,17,1
260546656,"PRIME AE GROUP, INC.",OH,288,2,429,2,602,2
340894745,"PRINCIPLE BUSINESS ENTERPRISES, INC.",OH,245,2,347,2,466,2
251635459,PRO-TEC COATING COMPANY,OH,329,2,397,2,763,2
611403731,"PRODUCE PACKAGING, INC.",OH,118,1,180,1,195,1
341517671,"PROMEDICA HEALTH SYSTEM, INC.",OH,16527,5,19307,4,21076,4
825076139,PROTO PRECISION ADDITIVE LLC,OH,,,6,2,,
320311521,"PUI AUDIO, INC.",OH,,,15,1,25,2
910699706,PYROTEK INCORPORATED,WA,931,2,992,2,888,2
311163734,Q LABS LLC,OH,134,1,113,1,190,3
850997867,QQE SUMMIT LLC,OH,,,,,123,2
113751366,"QUALITY ELECTRODYNAMICS, LLC",OH,119,2,178,2,191,2
646016768,QUALITY STEEL CORPORATION,MS,236,7,264,7,,
364670631,"QUALMED PHARMACY, INC.",CO,10,1,21,1,,
208423895,"QUANTUM HEALTH, INC.",OH,453,2,990,2,2101,2
341402791,"QUES INDUSTRIES, INC.",OH,,,26,1,32,3
311393419,"QUEST GLOBAL SERVICES N.A., INC.",CT,1382,2,2017,2,2416,2
311423221,"R&L CARRIERS, INC.",OH,9695,2,10920,2,18836,2
311290621,"R&R TOOL, INC.",OH,,,,,124,2
341761583,"R.L. COLE ENTERPRISE, INC.",OH,,,7,1,6,1
340673444,R.W. BECKETT CORPORATION,OH,178,2,174,2,355,2
822889106,"RAYCO MANUFACTURING, LLC",OH,,,175,2,,
800065827,"RAYMOND STORAGE CONCEPTS, INC.",OH,113,2,,,,
341353186,"RBB SYSTEMS, INC.",OH,72,1,73,1,56,1
208679477,"REALEFLOW, LLC",OH,,,,,29,1
341480627,REIFEL INDUSTRIES INC.,OH,110,2,119,2,234,2
853157191,RELIABILITY INSPECTIONS LLC,OH,,,,,14,1
311144772,"REPACORP, INC.",OH,139,1,157,2,222,2
311332047,REPLEX MIRROR COMPANY DBA REPLEX PLASTICS,OH,21,1,30,1,31,1
200485783,REPUBLIC STEEL,OH,2358,2,1318,2,1027,2
471991500,"RESONANT SCIENCES, LLC",OH,8,1,22,1,117,2
260869685,"RESONETICS, LLC",NH,117,2,305,2,1150,2
341778077,REVENUE ASSISTANCE CORP. THE REVENUE GROUP,OH,224,1,350,3,403,2
311581466,"REVLOCAL, LLC",OH,186,2,408,2,532,3
920191641,"RHINOSYSTEMS, INC.",OH,,,,,58,1
311399268,RIDGE CORPORATION,OH,85,1,137,2,370,5
341848737,RIFFLE MACHINE WORKS,OH,162,1,283,5,355,3
341715965,"RIMECO PRODUCTS, INC.",OH,36,1,57,1,,
311462897,RIPLEY METALWORKS,OH,,,,,37,1
311341799,"RIPPLE JUNCTION DESIGN CO., INC.",OH,66,1,76,1,136,2
464760127,"RISE BRANDS, INC.",OH,,,,,166,1
200154319,"RMF NOOTER, LLC",MO,5,1,6,1,,
310875005,"RMI TITANIUM CO., LLC",PA,,,972,6,564,4
351491046,"ROBINSON FIN MACHINES, INC.",OH,46,1,50,1,59,1
311364046,"ROCKY BRANDS, INC.",OH,560,2,465,2,727,2
340897539,ROGERS INDUSTRIAL PRODUCTS INC,OH,27,1,39,1,71,1
811341860,ROLLING ENTERPRISES INC. DBA CAT-WOOD METALWORKS,OH,,,30,2,30,2
874718796,ROSS ALUMINUM,OH,,,,,0,1
834545895,"ROTARY SEAMER SPECIALIST GROUP, LLC",OH,,,,,0,1
834693967,RSL LLC,NJ,,,,,99,2
341563471,"RUDOLPH FOODS COMPANY, INC.",OH,328,4,796,4,687,2
465133072,RUST BELT RIDERS COMPOSTING,OH,,,5,1,13,1
471235128,"RXQ COMPOUNDING, LLC",OH,,,16,1,25,2
341756687,"S.I. DISTRIBUTING, INC.",OH,14,1,16,1,19,1
380655810,"SAF-HOLLAND, INC.",MI,1504,6,1420,6,1293,6
465425790,SAGE SUSTAINABLE ELECTRONICS L,OH,18,1,118,1,290,2
061251791,"SAMUEL, SON & CO. (USA), INC",IL,414,1,2193,13,4548,6
340968517,SANDUSKY PACKAGING CORPORATION,OH,49,1,48,1,50,1
221717737,"SANDVIK, INC.",NC,6402,10,5844,9,4853,10
930797222,"SAREPTA THERAPEUTICS, INC.",MA,217,2,575,2,1415,2
952546613,"SATCO, INC.",CA,303,2,479,2,438,2
943450803,SATELYTICS INC,OH,,,,,28,1
344346145,SAUDER WOODWORKING CO.,OH,2216,3,2695,3,3348,2
208413312,SC STRATEGIC SOLUTIONS,OH,12,2,27,2,80,1
311692695,"SCENIC SOLUTIONS, LLC",OH,17,1,30,2,56,2
341273548,SCHAEFFER S TANK & TRUCK,OH,,,,,5,1
311418092,"SCHLABACH WOOD DESIGN, INC.",OH,,,,,100,1
262885325,"SCOTT STEEL, LLC",OH,,,34,2,57,2
270733710,SEAL-TITE LLC,OH,,,,,126,1
202057743,"SEARCH DISCOVERY, INC",GA,36,1,117,1,,
204212631,SEKISUI PLASTICS USA INC.,TN,57,1,160,1,87,2
200070121,"SENTRILOCK, LLC",OH,113,2,163,2,232,2
341913858,"SEQUOIA FINANCIAL GROUP, LLC",OH,35,1,,,194,1
341570556,"SETEX, INC.",OH,566,2,605,2,485,2
954015700,"SHIN-ETSU SILICONES OF AMERICA, INC.",OH,209,3,228,3,311,3
880094415,"SIERRA NEVADA COMPANY, LLC",NV,3219,2,4689,2,6660,2
205699765,SILFEX INC.,OH,301,1,636,1,,
943196943,"SIMPSON MANUFACTURING CO., INC",CA,1729,3,2626,2,3189,2
273674322,"SK FOOD GROUP, INC.",AZ,930,2,1492,2,2824,2
811781311,"SKYLIGHT PARTNERS, INC.",OH,,,15,1,37,1
461590730,"SLAINTE HEALTHCARE SERVICES, INC.",OH,,,19,1,331,1
371700146,SOFIDEL AMERICA CORP.,PA,347,2,1244,2,1971,2
341499502,"SOLMET TECHNOLOGIES, INC.",OH,63,1,54,1,63,1
953323502,"SOTERA HEALTH, LLC",OH,847,2,1425,1,,
310918771,"SOUTHERN OHIO COMMUNICATION SERVICES, INC.",OR,,,,,11,1
344360680,SPANGLER CANDY COMPANY,OH,430,3,550,3,547,3
311551430,SPEEDWAY LLC,TX,28640,26,33741,14,39420,2
811145148,SPERRY & RICE LLC,OH,137,1,96,2,80,2
473309055,SPEYSIDE BOURBON COOPERAGE INC,OH,,,265,1,681,1
043590028,SPRAY PRODUCTS CORPORATION,PA,102,1,219,2,258,2
844810330,"SPRINTS, LLC",OH,,,,,3,1
825105839,SRF OHIO LLC,OH,,,418,2,,
421772220,"SRI OHIO, INC.",OH,53,1,90,2,96,1
371418273,"ST ENGINEERING HACKNEY, INC",NC,609,2,824,2,633,2
980390818,ST. BERNARD SOAP COMPANY,OH,783,5,389,6,403,3
311439596,STA-WARM ELECTRIC COMPANY,OH,,,,,9,1
842268150,STAKES MANUFACTURING LLC,OH,,,37,1,215,2
863801176,"STANDARD MACHINE, LLC",OH,,,,,21,1
202694812,STANDARD TECHNOLOGIES,OH,,,63,1,92,2
431192063,STANLEY ELECTRIC US CO INC.,OH,996,2,820,2,,
264346624,"STAR DISTRIBUTION AND MANUFACTURING, LLC",OH,58,1,32,1,38,1
311424288,STAR DYNAMICS CORPORATION,OH,31,1,36,1,53,1
341576726,"STAR TURBINE, INC.",OH,45,1,41,2,63,1
310829698,STARWIN INDUSTRIES,OH,38,1,34,1,,
340552740,STATE INDUSTRIAL PRODUCTS,OH,918,6,798,6,797,5
341709712,STAUB LASER CUTTING INC,OH,10,1,,,,
310997825,"STEED HAMMOND PAUL, INC.",OH,106,1,103,1,113,1
311645116,STEELIAL INC.,OH,,,14,1,,
223062521,"STEELITE INTERNATIONAL USA, INC.",OH,89,1,116,1,237,3
311314876,"STEINER EOPTICS, INC.",OH,,,70,1,77,1
341482024,STERIS CORPORATION,OH,6356,5,8647,4,12391,4
310783143,"STEWART-MACDONALD MFG. CO., INC.",OH,54,1,89,1,139,1
141831492,STONECROP TECHNOLOGIES LLC,CA,,,296,2,,
311225301,SUGAR CREEK PACKING CO.,OH,1217,2,1915,2,2829,2
222760260,"SUNSTAR ENGINEERING AMERICAS, INC.",OH,158,2,164,2,175,2
340806947,"SUPERIOR ALUMINUM PRODUCTS, INC.",OH,38,1,62,1,61,1
340564691,"SUPERIOR DAIRY, INC.",OH,229,2,274,2,309,2
310999166,"SUPERIOR MARINE WAYS, INC.",OH,106,1,101,1,143,1
202552348,"SURGERE, INC.",OH,31,1,43,1,94,1
310671786,SUTPHEN CORPORATION,OH,305,3,358,3,322,3
340688825,SWAGELOK COMPANY,OH,5104,2,5777,2,6940,2
341897652,SYNTHOMER INC.,OH,3152,3,2723,3,2492,3
314244940,T. MARZETTI COMPANY,OH,245,3,236,2,270,2
363143159,TAIHO CORPORATION OF AMERICA,OH,156,2,291,2,288,2
461515066,TALIS CLINICAL LLC,OH,23,1,62,1,95,1
341954882,TARPSTOP,OH,55,1,103,1,115,1
260349166,"TE-CO MANUFACTURING, LLC",OH,56,1,56,1,64,1
830421014,TECH R2,OH,,,13,1,,
310826775,"TECHMETALS, INC.",OH,131,2,224,2,190,2
341313085,"TECHNICOTE, INC.",OH,235,1,179,2,190,2
522108862,TEIJIN AUTOMOTIVE TECHNOLOGIES,MI,2376,2,3944,3,4742,3
760356084,TEIKOKU USA INC.,PA,104,2,120,2,149,2
811354314,TEKION CORP,CA,,,32,1,665,2
223286312,"TEKNI-PLEX, INC.",PA,2111,3,2900,3,3245,3
273454290,"TEMEG HOLDINGS, INC.",OH,118,3,251,2,358,2
272624327,TERRASMART LLC,FL,,,85,1,,
860566930,"TESSENDERLO KERLEY, INC.",AZ,518,2,663,2,597,2
815387175,TEST-FUCHS CORPORATION,OH,,,16,2,27,2
844259995,THALER MACHINE COMPANY LLC,OH,,,,,138,3
341670663,"THE ADCOM GROUP, INC.",OH,179,2,152,1,167,2
541163725,THE AES CORPORATION,VA,2514,2,2003,2,3116,2
371591120,THE AKA TEAM,OH,,,9,1,,
341690243,THE ANDERSON-DUBOSE COMPANY,OH,239,5,238,3,268,3
202779385,THE AZEK GROUP LLC,IL,792,1,1300,2,2189,2
132933685,THE BABCOCK & WILCOX COMPANY,OH,7803,14,7259,6,6551,6
231269309,"THE BON-TON DEPARTMENT STORES, INC.",PA,24065,4,,,,
340142230,THE CHILCOTE COMPANY,OH,436,5,315,5,155,1
340714585,THE CLEVELAND CLINIC FOUNDATION,OH,56922,5,59852,5,71821,5
300609496,THE CLEVELAND FOUNDRY,OH,,,,,10,1
341644643,THE CLEVELAND VIBRATOR COMPANY,OH,27,1,41,1,61,1
311313904,"THE CONNOR GROUP, A REAL ESTATE INVESTMENT FIRM, LLC",OH,304,4,447,4,566,4
340176110,THE DAVEY TREE EXPERT COMPANY,OH,6205,4,5927,4,12594,3
314190600,THE GLOCKNER CHEVROLET COMPANY,OH,387,2,483,2,446,2
340253240,THE GOODYEAR TIRE & RUBBER COMPANY,OH,34241,29,26660,30,22457,30
340689355,THE GREAT LAKES CONSTRUCTION CO.,OH,140,2,166,2,173,2
311623179,"THE HILLMAN GROUP, INC.",OH,2287,2,3133,2,4170,2
810608730,THE HILSINGER COMPANY,MA,247,3,382,3,482,3
205839715,THE IMPERIAL ELECTRIC COMPANY,OH,29,1,,,,
310345740,THE KROGER CO.,OH,215908,8,227916,8,247911,8
340359955,THE LINCOLN ELECTRIC COMPANY,OH,4003,5,4981,4,6713,3
310287650,THE LOUIS G. FREEMAN COMPANY,OH,76,1,78,1,,
340367600,THE LUBRIZOL CORPORATION,OH,7830,11,8729,8,6038,6
340690321,THE MALISH CORPORATION,OH,115,1,108,1,121,2
340898426,"THE MCALEAR GROUP, INC. DBA SERVICE SPRING CORP.",OH,343,2,247,2,435,2
344302060,THE MENNEL MILLING COMPANY,OH,303,3,594,2,753,2
341145087,THE NOCK AND SON COMPANY,OH,20,1,20,1,21,1
314270490,THE OHIO MANUFACTURERS' ASSOCIATION,OH,14,1,17,1,22,1
113747263,"THE PAINTING CONTRACTOR, LLC",OH,,,,,19,1
340471740,THE PRINCE & IZANT COMPANY,OH,112,2,130,2,174,2
340697598,THE SANSON COMPANY,OH,139,2,166,3,218,2
340526850,THE SHERWIN-WILLIAMS COMPANY,OH,57650,9,56029,9,63090,8
410543420,THE SMEAD MANUFACTURING COMPANY,MN,1897,3,1339,3,830,2
311381123,THE ULTRA-MET COMPANY,OH,57,1,111,2,128,2
310410580,THE WILLIAM POWELL COMPANY,OH,243,2,169,2,77,1
314130940,THE WILSON BOHANNAN COMPANY,OH,36,1,36,1,34,1
900951383,"THEKEN COMPANIES, LLC",OH,23,1,55,1,,
341923454,THERMA-TRU CORP.,OH,1221,2,,,,
311401876,"THERMOSEAL, INC.",OH,24,2,32,2,47,2
010656293,THOMASLANE INC.,OH,,,,,75,1
341302396,TIFFIN METAL PRODUCTS,OH,71,2,76,2,113,3
472241600,TIGER PISTOL,TX,,,0,1,65,1
311205501,"TIGERPOLY MANUFACTURING, INC.",OH,318,2,529,2,442,2
830593246,"TIMBERLANE FINISH SOLUTIONS, LLC",OH,,,,,7,1
311119067,TNT EQUIPMENT COMPANY,OH,58,1,56,1,58,1
341612053,"TOLEDO MOLDING & DIE, INC.",OH,1858,5,1194,4,1246,2
344472215,"TOLEDO TOOL & DIE CO., INC.",OH,149,1,248,2,514,2
471035156,TOPCO AMERICA LLC,OH,,,133,1,337,1
341158960,"TOPCRAFT, INC.",OH,19,1,17,1,,
980380782,TOPRE AMERICA CORPORATION,AL,597,2,920,2,1925,2
205152109,"TOTAL QUALITY LOGISTICS, LLC",OH,2886,1,5751,2,10203,2
581493818,"TOTAL SYSTEM SERVICES, LLC",GA,8794,7,11248,6,14640,1
260440499,"TOWER AUTOMOTIVE OPERATIONS USA I, LLC",MI,4969,1,4589,1,2548,1
300869183,TPAM,OH,,,,,15,1
383933363,TRACTION ON DEMAND US INC,TX,,,45,1,,
133139732,TRACTOR SUPPLY COMPANY,TN,11024,3,31469,3,53609,3
311044595,"TRANS-STATES EXPRESS, INC",OH,12,1,13,1,19,1
200027233,"TRANSGLOBAL, INC.",OH,27,1,71,1,143,2
311228202,TRANSPORTATION RESEARCH CENTER INC.,OH,460,3,471,2,454,2
831502676,"TREW, LLC",OH,,,,,415,1
364883768,"TRI-TECH LABORATORIES, LLC",NJ,,,,,461,1
311068810,TRIO TRUCKING INC.,OH,54,1,50,1,40,1
203581585,"TRIVERSITY CONSTRUCTION, LLC",OH,52,1,114,1,96,1
341727300,TRIVIUM PACKAGING,OH,464,6,390,7,864,1
582514686,"TRONAIR, INC.",OH,132,2,369,2,392,2
341705149,"TROY INNOVATIVE INSTRUMENTS, INC.",OH,46,1,42,1,39,1
261737051,"TRUE INSPECTION SERVICES, LLC",OH,13,1,45,1,70,1
